num_envs,num_actors,num_dofs,num_bodies,power_draw,env
2048,1,12,13,0.01466163325,AnymalTerrain
4096,1,12,13,0.02258939726,AnymalTerrain
8192,1,12,13,0.04615427516,AnymalTerrain
16384,1,12,13,0.09800830501,AnymalTerrain
2048,1,8,9,0.00257885668,Ant
4096,1,8,9,0.003796452334,Ant
8192,1,8,9,0.005021929255,Ant
16384,1,8,9,0.007642087121,Ant
32768,1,8,9,0.01480559419,Ant
2048,1,2,3,0.00242879831,Cartpole
4096,1,2,3,0.004081950719,Cartpole
8192,1,2,3,0.007037964666,Cartpole
16384,1,2,3,0.01290033792,Cartpole
32768,1,2,3,0.02502278842,Cartpole
2048,2,6,8,0.003346578808,BallBalance
4096,2,6,8,0.005452539784,BallBalance
8192,2,6,8,0.009164128593,BallBalance
16384,2,6,8,0.01541044119,BallBalance
32768,2,6,8,0.02866388644,BallBalance